Thread 1: 10:18:40.681, Counter: 1
Thread 2: 10:18:40.928, Counter: 1
Thread 1: 10:18:40.974, Counter: 2
Thread 1: 10:18:41.237, Counter: 3
Thread 3: 10:18:41.440, Counter: 3
Thread 2: 10:18:41.440, Counter: 3
Thread 1: 10:18:41.502, Counter: 4
Thread 1: 10:18:41.769, Counter: 5
Thread 2: 10:18:41.956, Counter: 5
Thread 1: 10:18:42.034, Counter: 6
Thread 1: 10:18:42.286, Counter: 7
Thread 3: 10:18:42.441, Counter: 7
Thread 2: 10:18:42.472, Counter: 7
Thread 1: 10:18:42.550, Counter: 8
Thread 1: 10:18:42.815, Counter: 9
Thread 2: 10:18:42.986, Counter: 9
Thread 1: 10:18:43.078, Counter: 10
Thread 1: 10:18:43.341, Counter: 11
Thread 3: 10:18:43.450, Counter: 11
Thread 2: 10:18:43.497, Counter: 11
Thread 1: 10:18:43.606, Counter: 12
Thread 1: 10:18:43.871, Counter: 13
Thread 2: 10:18:44.010, Counter: 13
Thread 1: 10:18:44.135, Counter: 14
Thread 1: 10:18:44.397, Counter: 15
Thread 3: 10:18:44.460, Counter: 15
Thread 2: 10:18:44.521, Counter: 15
Thread 1: 10:18:44.660, Counter: 16
Thread 1: 10:18:44.924, Counter: 17
Thread 2: 10:18:45.032, Counter: 17
Thread 1: 10:18:45.187, Counter: 18
Thread 1: 10:18:45.448, Counter: 19
Thread 3: 10:18:45.464, Counter: 19
Thread 2: 10:18:45.541, Counter: 19
Thread 1: 10:18:45.712, Counter: 20
Thread 1: 10:18:45.975, Counter: 21
Thread 2: 10:18:46.052, Counter: 21
Thread 1: 10:18:46.237, Counter: 22
Thread 3: 10:18:46.469, Counter: 22
Thread 1: 10:18:46.501, Counter: 23
Thread 2: 10:18:46.564, Counter: 23
Thread 1: 10:18:46.766, Counter: 24
Thread 1: 10:18:47.030, Counter: 25
Thread 2: 10:18:47.078, Counter: 25
Thread 1: 10:18:47.294, Counter: 26
Thread 3: 10:18:47.483, Counter: 26
Thread 1: 10:18:47.561, Counter: 27
Thread 2: 10:18:47.593, Counter: 27
Thread 1: 10:18:47.826, Counter: 28
Thread 1: 10:18:48.086, Counter: 29
Thread 2: 10:18:48.102, Counter: 29
Thread 1: 10:18:48.350, Counter: 30
Thread 3: 10:18:48.490, Counter: 30
Thread 1: 10:18:48.615, Counter: 31
Thread 2: 10:18:48.615, Counter: 31
Thread 1: 10:18:48.880, Counter: 32
Thread 2: 10:18:49.126, Counter: 32
Thread 1: 10:18:49.141, Counter: 33
Thread 1: 10:18:49.405, Counter: 34
